ASSET CLASSES,EAD BEFORE CRM,COLL AMT,NETTING AMT,GUARANTEE AMT,RWA WITH CRM,RWA WITHOUT CRM,% of RWA,OUTSTANDING AMOUNT,ACCURED INTEREST,OUTSTANDING FEE,EAD AFTER CRM,TOTAL
"CASH, GOLD AND CASH EQUIVALENT",-,-,-,-,-,-,0.0,-,-,-,-,-
EXPOSURE TO SOVEREIGNS,-,-,-,-,-,-,0.0,-,-,-,-,-
VAMC/DATC,-,-,-,-,-,-,0.0,-,-,-,-,-
SOVEREIGN,-,-,-,-,-,-,0.0,-,-,-,-,-
EXPOSURE TO PSEs,-,-,-,-,-,-,0.0,-,-,-,-,-
EXPOSURE TO MDBs,-,-,-,-,-,-,0.0,-,-,-,-,-
EXPOSURE TO BANKS,"65,048,226,033,025",-,"35,930,216,441,765",-,"27,329,697,991,503","47,167,252,540,993",1.0,"64,551,134,689,688","497,091,343,337",-,"29,118,009,591,260","65,048,226,033,025"
EXPOSURE TO CORPORATES,-,-,-,-,-,-,0.0,-,-,-,-,-
GENERAL CORPORATE EXPOSURE,-,-,-,-,-,-,0.0,-,-,-,-,-
SPECIALIZED LENDING EXPOSURE,-,-,-,-,-,-,0.0,-,-,-,-,-
RETAIL EXPOSURES,"64,937,116",-,-,-,"64,937,116","64,937,116",0.0,"1,272,000,000",10.896,-,"64,937,116","1,272,010,896"
REGULATORY RETAIL,-,-,-,-,-,-,0.0,-,-,-,-,-
TRANSACTORS,-,-,-,-,-,-,0.0,-,-,-,-,-
REGULATORY RETAIL SME,-,-,-,-,-,-,0.0,-,-,-,-,-
OTHER RETAIL,"64,937,116",-,-,-,"64,937,116","64,937,116",0.0,"1,272,000,000",10.896,-,"64,937,116","1,272,010,896"
REAL ESTATE EXPOSURE,-,-,-,-,-,-,0.0,-,-,-,-,-
COMMERCIAL REAL ESTATE,-,-,-,-,-,-,0.0,-,-,-,-,-
INCOME PRODUCING CRE,-,-,-,-,-,-,0.0,-,-,-,-,-
GENERAL CRE,-,-,-,-,-,-,0.0,-,-,-,-,-
RESIDENTIAL REAL ESTATE,-,-,-,-,-,-,0.0,-,-,-,-,-
INCOME PRODUCING RRE,-,-,-,-,-,-,0.0,-,-,-,-,-
GENERAL RRE,-,-,-,-,-,-,0.0,-,-,-,-,-
"LAND ACQUISITION, DEVELOPMENT AND CONSTRUCTION",-,-,-,-,-,-,0.0,-,-,-,-,-
DEFAULTED EXPOSURES,-,-,-,-,-,-,0.0,-,-,-,-,-
SUBORDINATED DEBT AND EQUITY,-,-,-,-,-,-,0.0,-,-,-,-,-
OTHER ASSETS,-,-,-,-,-,-,0.0,-,-,-,-,-
